order_id,order_date,sku,sub-category,quantity,order_status,settlement_date,mrp,discount,net_realized_sale,igst,cgst,sgst,tcs,tds,commission,shipping_fee,fixed_fee,pick_and_pack_fee,payment_gateway_fee,tax_on_logistics,zone,actual_settlement,tax_on_commissions,_merge,payment_status,final_settlement,returned_quantity,net_delivered_quantity
8560209176,2025-07-10,107855550,Kurtas,1,delivered,2025-07-29,1999.0,-1020.0,885.0,42.14,0.0,0.0,-4.214,-0.843,-123.9,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,701.881,-22.302,both,settled,701.8809999999999,,
8560006997,2025-07-10,103852148,Ethnic Dresses,1,delivered,2025-07-30,1599.0,-816.0,689.0,32.81,0.0,0.0,-3.281,-0.656,-89.57033898305085,0.0,-27.0,0.0,0.0,-4.86,ZONAL,547.51,-16.122661016949152,both,settled,547.5100000000001,,
8582278641,2025-07-25,79496966,Kurtas,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8577995851,2025-07-21,102360574,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8570283831,2025-07-16,110665098,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8579102548,2025-07-22,107416025,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8583757818,2025-07-26,110664683,Kurtis,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8560672933,2025-07-10,102360987,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8576311177,2025-07-20,78683172,Trousers,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8577011845,2025-07-21,102733533,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8577011846,2025-07-21,107415974,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8554441989,2025-07-06,87429560,Kurta Sets,1,delivered,2025-07-25,1598.0,-799.0,681.0,32.43,0.0,0.0,-3.243,-0.649,-102.15,0.0,-27.0,0.0,0.0,-4.86,ZONAL,524.711,-18.387,both,settled,524.711,,
8562605618,2025-07-11,105018421,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8580510732,2025-07-23,112528916,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8579118307,2025-07-22,107416342,Kurtas,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8577691386,2025-07-21,78683256,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8579909489,2025-07-23,102957077,Ethnic Dresses,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8553665003,2025-07-05,77637662,Kurtas,1,delivered,2025-07-25,2099.0,-1218.0,787.0,37.48,0.0,0.0,-3.748,-0.7490000000000001,-110.18050847457629,0.0,-27.0,0.0,0.0,-4.86,ZONAL,620.63,-19.83249152542373,both,settled,620.6299999999999,,
8555146662,2025-07-06,106935719,Ethnic Dresses,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8573858710,2025-07-18,106929808,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8571760210,2025-07-17,102360580,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8556414224,2025-07-07,106928951,Kurtas,1,delivered,2025-07-25,2999.0,-1530.0,1298.0,0.0,69.54,69.54,-5.795,-1.159,-246.62033898305086,0.0,-45.0,0.0,0.0,-8.1,NATIONAL,946.934,-44.39166101694915,both,settled,946.934,,
8559175587,2025-07-09,102957121,Kurtas,1,delivered,2025-07-28,1599.0,-816.0,689.0,32.81,0.0,0.0,-3.281,-0.656,-96.46016949152542,0.0,-27.0,0.0,0.0,-4.86,ZONAL,539.38,-17.362830508474573,both,settled,539.3800000000001,,
8583911592,2025-07-26,106928239,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8584716107,2025-07-26,78683216,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8559516635,2025-07-09,107673449,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8570735128,2025-07-16,110664759,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8572959923,2025-07-18,78683104,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8559782060,2025-07-09,77637916,Kurtas,1,delivered,2025-07-29,799.0,-408.0,332.0,15.81,0.0,0.0,-1.581,-0.316,-26.560169491525425,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,266.902,-4.780830508474576,both,settled,266.90199999999993,,
8558132494,2025-07-08,110665019,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8577783934,2025-07-21,86654894,Trousers,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8577783936,2025-07-21,85672182,Trousers,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8577435247,2025-07-21,77343352,Leggings,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8572388609,2025-07-17,106929788,Kurtas,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8572172655,2025-07-17,78211304,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8547625728,2025-07-01,78683266,Trousers,1,delivered,2025-07-21,599.0,-198.0,342.0,0.0,8.14,8.14,-1.629,-0.326,-20.52033898305085,0.0,-27.0,-17.0,0.0,-7.92,ZONAL,263.911,-3.6936610169491524,both,settled,263.911,,
8571601571,2025-07-17,102360920,Kurta Sets,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8579668985,2025-07-23,102360595,Kurtas,1,returned,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,1.0,0.0
8573034421,2025-07-18,78683216,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8559405881,2025-07-09,78683268,Trousers,1,delivered,2025-07-29,599.0,-204.0,336.0,16.0,0.0,0.0,-1.6,-0.32,-20.160169491525426,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,278.431,-3.6288305084745764,both,settled,278.431,,
8579736941,2025-07-23,108540749,Kurtas,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8576215589,2025-07-20,107673468,Kurta Sets,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8574091635,2025-07-19,78682638,Palazzos,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8558544282,2025-07-08,110665149,Kurta Sets,1,delivered,2025-07-29,1999.0,-1020.0,861.0,41.0,0.0,0.0,-4.1,-0.82,-129.15,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,671.823,-23.247,both,settled,671.823,,
8585820561,2025-07-27,78683236,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8559300034,2025-07-09,78683266,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8584510385,2025-07-26,78683268,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8557665057,2025-07-08,88024060,Kurtas,1,delivered,2025-07-28,999.0,-660.0,280.0,13.33,0.0,0.0,-1.333,-0.267,-16.8,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,226.716,-3.024,both,settled,226.71599999999995,,
8563753627,2025-07-12,78683168,Trousers,1,delivered,,,,,,,,,,,,,,,,,,,left_only,unsettled,0.0,,
8557508725,2025-07-08,85672184,Trousers,1,delivered,2025-07-25,1198.0,-456.0,648.0,30.86,0.0,0.0,-3.086,-0.617,-84.23983050847458,0.0,-27.0,0.0,0.0,-4.86,ZONAL,513.034,-15.163169491525425,both,settled,513.034,,
8549461578,2025-07-02,92864086,Kurta Sets,1,delivered,2025-07-21,2598.0,-1299.0,1105.0,118.39,0.0,0.0,-4.933,-0.987,-232.05000000000004,0.0,-45.0,-23.0,0.0,-12.24,ZONAL,745.021,-41.769000000000005,both,settled,745.021,,
