order_id,order_date,sku,sub-category,quantity,order_status,settlement_date,mrp,discount,net_realized_sale,igst,cgst,sgst,tcs,tds,commission,shipping_fee,fixed_fee,pick_and_pack_fee,payment_gateway_fee,tax_on_logistics,zone,actual_settlement,tax_on_commissions,_merge,payment_status,final_settlement,returned_quantity,net_delivered_quantity,igst_amt,cgst_amt,sgst_amt
8547316663.0,2025-07-01 00:00:00,110664815,Kurtas,1,returned,2025-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,-27.0,-17.0,0.0,-37.98,NATIONAL,1314.152,0.0,both,settled,-248.98,1.0,0.0,,,
8561468571.0,2025-07-11 00:00:00,113444883,Kurtas,1,returned,2025-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.0,-45.0,0.0,0.0,-24.479999999999997,LOCAL,1792.398,0.0,both,settled,-160.48,1.0,0.0,,,
8550174067.0,2025-07-03 00:00:00,78683168,Trousers,1,delivered,2025-07-22,799.0,-352.0,388.0,18.48,0.0,0.0,-1.848,-0.37,-23.279661016949152,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,326.452,-4.1903389830508475,both,settled,326.452,,,,,
8555032816.0,2025-07-06 00:00:00,110664818,Kurtas,1,delivered,2025-07-28,1599.0,-816.0,689.0,32.81,0.0,0.0,-3.281,-0.656,-96.46016949152542,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,539.38,-17.362830508474573,both,settled,539.3800000000001,,,,,
8558183599.0,2025-07-08 00:00:00,102108715,Kurtas,1,returned,2025-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,-27.0,0.0,0.0,-34.92,NATIONAL,966.098,0.0,both,settled,-228.92000000000002,1.0,0.0,,,
8549933878.0,2025-07-03 00:00:00,78683268,Trousers,1,delivered,2025-07-22,599.0,-198.0,342.0,16.29,0.0,0.0,-1.629,-0.326,-20.52033898305085,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,283.971,-3.6936610169491524,both,settled,283.971,,,,,
8554760802.0,2025-07-06 00:00:00,110664814,Kurtas,1,delivered,2025-07-28,1599.0,-816.0,689.0,32.81,0.0,0.0,-3.281,-0.656,-96.46016949152542,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,539.38,-17.362830508474573,both,settled,539.3800000000001,,,,,
8550797628.0,2025-07-03 00:00:00,102957161,Kurtas,1,delivered,2025-07-21,1999.0,-1000.0,905.0,0.0,21.55,21.55,-4.31,-0.862,-126.7,0.0,-27.0,0.0,0.0,-4.86,ZONAL,718.462,-22.806,both,settled,718.462,,,,,
8547282771.0,2025-07-01 00:00:00,110664962,Kurta Sets,1,returned,2025-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-218.0,-27.0,-23.0,0.0,-48.24,NATIONAL,1638.298,0.0,both,settled,-316.24,1.0,0.0,,,
8547251577.0,2025-07-01 00:00:00,88315020,Palazzos,1,delivered,2025-07-21,999.0,-500.0,440.0,20.95,0.0,0.0,-2.095,-0.419,-35.2,0.0,-27.0,-17.0,0.0,-7.92,NATIONAL,344.03,-6.336,both,settled,344.0299999999999,,,,,
8555329284.0,2025-07-06 00:00:00,106928238,Kurtas,1,delivered,2025-07-24,2599.0,-1326.0,1102.0,118.07,0.0,0.0,-4.92,-0.984,-209.37966101694917,0.0,-45.0,0.0,0.0,-8.1,ZONAL,795.928,-37.68833898305085,both,settled,795.9279999999999,,,,,
8547396485.0,2025-07-01 00:00:00,108541345,Kurta Sets,1,delivered,2025-07-21,3999.0,-2000.0,1805.0,193.39,0.0,0.0,-8.058,-1.612,-379.05,0.0,-45.0,-23.0,0.0,-12.24,ZONAL,1267.811,-68.229,both,settled,1267.811,,,,,
8552095565.0,2025-07-04 00:00:00,102360694,Kurtas,1,delivered,2025-07-25,2999.0,-1530.0,1298.0,139.07,0.0,0.0,-5.795,-1.159,-246.61949152542377,0.0,-45.0,0.0,0.0,-8.1,NATIONAL,946.935,-44.39150847457628,both,settled,946.9349999999998,,,,,
8548100037.0,2025-07-01 00:00:00,102957184,Kurtas,1,returned,2025-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.0,-27.0,-17.0,0.0,-28.08,ZONAL,1249.252,0.0,both,settled,-184.07999999999998,1.0,0.0,,,
8548965047.0,2025-07-02 00:00:00,110665023,Kurta Sets,1,returned,2025-07-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-218.0,-27.0,-23.0,0.0,-48.24,NATIONAL,1638.298,0.0,both,settled,-316.24,1.0,0.0,,,
8555333470.0,2025-07-06 00:00:00,110665019,Kurta Sets,1,delivered,2025-07-28,1999.0,-1020.0,861.0,41.0,0.0,0.0,-4.1,-0.82,-129.15,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,671.823,-23.247,both,settled,671.823,,,,,
8555333799.0,2025-07-06 00:00:00,102957116,Kurtas,1,delivered,2025-07-28,2399.0,-1224.0,1004.0,47.81,0.0,0.0,-4.781,-0.956,-190.76016949152543,0.0,-45.0,0.0,0.0,-8.1,NATIONAL,720.0659999999999,-34.33683050847458,both,settled,720.066,,,,,
8548056372.0,2025-07-01 00:00:00,78683104,Trousers,1,delivered,2025-07-21,599.0,-198.0,342.0,16.29,0.0,0.0,-1.629,-0.326,-20.52033898305085,0.0,-27.0,-17.0,0.0,-7.92,NATIONAL,263.911,-3.6936610169491524,both,settled,263.911,,,,,
8558367542.0,2025-07-08 00:00:00,110664719,Kurtas,1,delivered,2025-07-29,799.0,-408.0,332.0,15.81,0.0,0.0,-1.581,-0.316,-26.560169491525425,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,266.902,-4.780830508474576,both,settled,266.90199999999993,,,,,
8549282923.0,2025-07-02 00:00:00,79497704,Kurtas,1,returned,2025-07-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.0,-27.0,-17.0,0.0,-28.08,ZONAL,612.17,0.0,both,settled,-184.07999999999998,1.0,0.0,,,
8555597173.0,2025-07-06 00:00:00,78212162,Kurtas,1,delivered,2025-07-28,1399.0,-602.0,703.0,33.48,0.0,0.0,-3.348,-0.67,-98.42033898305085,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,550.986,-17.715661016949152,both,settled,550.986,,,,,
8551657366.0,2025-07-04 00:00:00,77637952,Kurtas,1,delivered,2025-07-24,1199.0,-648.0,457.0,21.76,0.0,0.0,-2.176,-0.435,-36.56016949152542,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,379.388,-6.580830508474576,both,settled,379.38800000000003,,,,,
8556133278.0,2025-07-06 00:00:00,102109056,Kurtas,1,delivered,2025-07-30,1199.0,-660.0,445.0,21.19,0.0,0.0,-2.119,-0.424,-35.6,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,368.589,-6.408,both,settled,368.58899999999994,,,,,
8548234645.0,2025-07-02 00:00:00,78683214,Trousers,1,delivered,2025-07-21,1099.0,-649.0,391.0,18.62,0.0,0.0,-1.862,-0.372,-23.460169491525424,0.0,-27.0,-17.0,0.0,-7.92,NATIONAL,309.16299999999995,-4.222830508474576,both,settled,309.16299999999995,,,,,
8555685028.0,2025-07-06 00:00:00,110664860,Kurtas,1,delivered,2025-07-28,1199.0,-612.0,493.0,23.48,0.0,0.0,-2.348,-0.47,-39.43983050847458,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,411.783,-7.099169491525424,both,settled,411.783,,,,,
8552395085.0,2025-07-04 00:00:00,78682636,Palazzos,1,delivered,2025-07-21,799.0,-304.0,436.0,20.76,0.0,0.0,-2.076,-0.415,-34.87966101694916,0.0,-27.0,0.0,0.0,-4.86,ZONAL,360.491,-6.2783389830508485,both,settled,360.491,,,,,
8560798096.0,2025-07-10 00:00:00,102360684,Kurtas,1,returned,2025-07-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-112.0,-27.0,0.0,0.0,-25.02,ZONAL,901.1980000000001,0.0,both,settled,-164.02,1.0,0.0,,,
8551664920.0,2025-07-04 00:00:00,88314534,Kurta Sets,1,delivered,2025-07-23,2999.0,-1710.0,1095.0,117.32,0.0,0.0,-4.888,-0.978,-229.95000000000002,0.0,-45.0,0.0,0.0,-8.1,NATIONAL,764.693,-41.391,both,settled,764.6930000000001,,,,,
8555533004.0,2025-07-06 00:00:00,78683166,Trousers,1,delivered,2025-07-24,799.0,-352.0,388.0,18.48,0.0,0.0,-1.848,-0.37,-23.279661016949152,0.0,-27.0,0.0,0.0,-4.86,ZONAL,326.452,-4.1903389830508475,both,settled,326.452,,,,,
8554727612.0,2025-07-06 00:00:00,78683268,Trousers,1,delivered,2025-07-28,599.0,-204.0,336.0,16.0,0.0,0.0,-1.6,-0.32,-20.160169491525426,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,278.431,-3.6288305084745764,both,settled,278.431,,,,,
8552747501.0,2025-07-04 00:00:00,110664725,Kurtas,1,delivered,2025-07-23,1599.0,-816.0,689.0,32.81,0.0,0.0,-3.281,-0.656,-96.46016949152542,0.0,-27.0,0.0,0.0,-4.86,ZONAL,539.38,-17.362830508474573,both,settled,539.3800000000001,,,,,
8550797783.0,2025-07-03 00:00:00,102360707,Kurtas,1,delivered,2025-07-23,2599.0,-1508.0,920.0,43.81,0.0,0.0,-4.381,-0.876,-128.8,0.0,-27.0,0.0,0.0,-4.86,NATIONAL,730.899,-23.184,both,settled,730.899,,,,,
8547652206.0,2025-07-01 00:00:00,107416652,Kurta Sets,1,delivered,2025-07-22,1999.0,-1000.0,881.0,41.95,0.0,0.0,-4.195,-0.839,-132.15,0.0,-27.0,-23.0,0.0,-9.0,NATIONAL,661.029,-23.787,both,settled,661.0289999999999,,,,,
8558957399.0,2025-07-09 00:00:00,107416342,Kurtas,1,returned,2025-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-167.0,-27.0,0.0,0.0,-34.92,NATIONAL,1307.6799999999998,0.0,both,settled,-228.92000000000002,1.0,0.0,,,
